Logging to ./train/ppo1
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 8.19       |
|    ep_rew_mean          | -92.7      |
| time/                   |            |
|    fps                  | 218        |
|    iterations           | 6          |
|    time_elapsed         | 112        |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.05056713 |
|    clip_fraction        | 0.255      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.09      |
|    explained_variance   | -0.0973    |
|    learning_rate        | 1e-05      |
|    loss                 | 917        |
|    n_updates            | 500        |
|    policy_gradient_loss | 0.0264     |
|    value_loss           | 1.92e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.58        |
|    ep_rew_mean          | -89.3       |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 7           |
|    time_elapsed         | 134         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.027045403 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.07       |
|    explained_variance   | 0.0545      |
|    learning_rate        | 1e-05       |
|    loss                 | 732         |
|    n_updates            | 600         |
|    policy_gradient_loss | 0.00104     |
|    value_loss           | 2.1e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.53        |
|    ep_rew_mean          | -91.4       |
| time/                   |             |
|    fps                  | 210         |
|    iterations           | 8           |
|    time_elapsed         | 155         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.027658822 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.01       |
|    explained_variance   | 0.0611      |
|    learning_rate        | 1e-05       |
|    loss                 | 867         |
|    n_updates            | 700         |
|    policy_gradient_loss | -3.49e-05   |
|    value_loss           | 2.06e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.27        |
|    ep_rew_mean          | -84.2       |
| time/                   |             |
|    fps                  | 207         |
|    iterations           | 9           |
|    time_elapsed         | 177         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.041108772 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.037       |
|    learning_rate        | 1e-05       |
|    loss                 | 3.7e+03     |
|    n_updates            | 800         |
|    policy_gradient_loss | -0.0145     |
|    value_loss           | 8.34e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.8        |
|    ep_rew_mean          | -117        |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 10          |
|    time_elapsed         | 199         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.048888396 |
|    clip_fraction        | 0.237       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.15       |
|    explained_variance   | 0.00273     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.07e+03    |
|    n_updates            | 900         |
|    policy_gradient_loss | 0.0311      |
|    value_loss           | 2.26e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.55       |
|    ep_rew_mean          | -87.6      |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 11         |
|    time_elapsed         | 221        |
|    total_timesteps      | 45056      |
| train/                  |            |
|    approx_kl            | 0.10293556 |
|    clip_fraction        | 0.288      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.9       |
|    explained_variance   | 0.00458    |
|    learning_rate        | 1e-05      |
|    loss                 | 4.19e+03   |
|    n_updates            | 1000       |
|    policy_gradient_loss | -0.00463   |
|    value_loss           | 1.22e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.59        |
|    ep_rew_mean          | -89.3       |
| time/                   |             |
|    fps                  | 201         |
|    iterations           | 12          |
|    time_elapsed         | 243         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.089536816 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.93       |
|    explained_variance   | -0.0824     |
|    learning_rate        | 1e-05       |
|    loss                 | 2.65e+03    |
|    n_updates            | 1100        |
|    policy_gradient_loss | 0.0013      |
|    value_loss           | 8.47e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.11        |
|    ep_rew_mean          | -92.2       |
| time/                   |             |
|    fps                  | 200         |
|    iterations           | 13          |
|    time_elapsed         | 265         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.043885984 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.06       |
|    explained_variance   | -0.0751     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.29e+03    |
|    n_updates            | 1200        |
|    policy_gradient_loss | 0.0282      |
|    value_loss           | 2.64e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.79       |
|    ep_rew_mean          | -93.5      |
| time/                   |            |
|    fps                  | 199        |
|    iterations           | 14         |
|    time_elapsed         | 287        |
|    total_timesteps      | 57344      |
| train/                  |            |
|    approx_kl            | 0.03938831 |
|    clip_fraction        | 0.194      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.99      |
|    explained_variance   | 0.082      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.59e+03   |
|    n_updates            | 1300       |
|    policy_gradient_loss | 0.00892    |
|    value_loss           | 4.23e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.86        |
|    ep_rew_mean          | -82.5       |
| time/                   |             |
|    fps                  | 198         |
|    iterations           | 15          |
|    time_elapsed         | 309         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.043118514 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.02       |
|    explained_variance   | 0.0822      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.06e+03    |
|    n_updates            | 1400        |
|    policy_gradient_loss | 0.0164      |
|    value_loss           | 2.59e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.2         |
|    ep_rew_mean          | -87.4       |
| time/                   |             |
|    fps                  | 198         |
|    iterations           | 16          |
|    time_elapsed         | 330         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.025635138 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.102       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.58e+03    |
|    n_updates            | 1500        |
|    policy_gradient_loss | -0.0041     |
|    value_loss           | 3.84e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 8.69       |
|    ep_rew_mean          | -88        |
| time/                   |            |
|    fps                  | 197        |
|    iterations           | 17         |
|    time_elapsed         | 352        |
|    total_timesteps      | 69632      |
| train/                  |            |
|    approx_kl            | 0.04232154 |
|    clip_fraction        | 0.239      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.01      |
|    explained_variance   | -0.00671   |
|    learning_rate        | 1e-05      |
|    loss                 | 999        |
|    n_updates            | 1600       |
|    policy_gradient_loss | 0.0107     |
|    value_loss           | 2.14e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.04        |
|    ep_rew_mean          | -87.8       |
| time/                   |             |
|    fps                  | 196         |
|    iterations           | 18          |
|    time_elapsed         | 374         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.096850365 |
|    clip_fraction        | 0.253       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.91       |
|    explained_variance   | -0.0131     |
|    learning_rate        | 1e-05       |
|    loss                 | 2.77e+03    |
|    n_updates            | 1700        |
|    policy_gradient_loss | 0.000405    |
|    value_loss           | 7.38e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 1           |
|    mean_reward          | -105        |
| time/                   |             |
|    total_timesteps      | 75000       |
| train/                  |             |
|    approx_kl            | 0.031379506 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.96       |
|    explained_variance   | 0.0646      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.63e+03    |
|    n_updates            | 1800        |
|    policy_gradient_loss | -0.0036     |
|    value_loss           | 3.61e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 7.18     |
|    ep_rew_mean     | -84      |
| time/              |          |
|    fps             | 195      |
|    iterations      | 19       |
|    time_elapsed    | 397      |
|    total_timesteps | 77824    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.83        |
|    ep_rew_mean          | -89.9       |
| time/                   |             |
|    fps                  | 195         |
|    iterations           | 20          |
|    time_elapsed         | 418         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.034771185 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.02       |
|    explained_variance   | 0.116       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.03e+03    |
|    n_updates            | 1900        |
|    policy_gradient_loss | 0.0156      |
|    value_loss           | 2.15e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 11.2       |
|    ep_rew_mean          | -92.8      |
| time/                   |            |
|    fps                  | 195        |
|    iterations           | 21         |
|    time_elapsed         | 440        |
|    total_timesteps      | 86016      |
| train/                  |            |
|    approx_kl            | 0.04037074 |
|    clip_fraction        | 0.219      |
|    clip_range           | 0.2        |
|    entropy_loss         | -3.01      |
|    explained_variance   | 0.148      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.23e+03   |
|    n_updates            | 2000       |
|    policy_gradient_loss | 0.0193     |
|    value_loss           | 2.48e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.66        |
|    ep_rew_mean          | -95.9       |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 22          |
|    time_elapsed         | 463         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.081347704 |
|    clip_fraction        | 0.388       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.94       |
|    explained_variance   | 0.0593      |
|    learning_rate        | 1e-05       |
|    loss                 | 3.09e+03    |
|    n_updates            | 2100        |
|    policy_gradient_loss | 0.00206     |
|    value_loss           | 8.22e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.2         |
|    ep_rew_mean          | -102        |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 23          |
|    time_elapsed         | 485         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.085266955 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | -0.261      |
|    learning_rate        | 1e-05       |
|    loss                 | 794         |
|    n_updates            | 2200        |
|    policy_gradient_loss | 0.0291      |
|    value_loss           | 1.62e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.05        |
|    ep_rew_mean          | -80.6       |
| time/                   |             |
|    fps                  | 193         |
|    iterations           | 24          |
|    time_elapsed         | 507         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.047728308 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.92       |
|    explained_variance   | 0.0886      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.79e+03    |
|    n_updates            | 2300        |
|    policy_gradient_loss | -0.00201    |
|    value_loss           | 5.35e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.78        |
|    ep_rew_mean          | -96.3       |
| time/                   |             |
|    fps                  | 193         |
|    iterations           | 25          |
|    time_elapsed         | 529         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.036414243 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.02       |
|    explained_variance   | 0.0621      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.02e+03    |
|    n_updates            | 2400        |
|    policy_gradient_loss | 0.0107      |
|    value_loss           | 2.19e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.83        |
|    ep_rew_mean          | -90.1       |
| time/                   |             |
|    fps                  | 193         |
|    iterations           | 26          |
|    time_elapsed         | 550         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.063440174 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.00739     |
|    learning_rate        | 1e-05       |
|    loss                 | 1.75e+03    |
|    n_updates            | 2500        |
|    policy_gradient_loss | 0.0139      |
|    value_loss           | 4.24e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.71        |
|    ep_rew_mean          | -80.4       |
| time/                   |             |
|    fps                  | 193         |
|    iterations           | 27          |
|    time_elapsed         | 572         |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.030164823 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.95       |
|    explained_variance   | 0.136       |
|    learning_rate        | 1e-05       |
|    loss                 | 863         |
|    n_updates            | 2600        |
|    policy_gradient_loss | 0.00534     |
|    value_loss           | 2.08e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.51       |
|    ep_rew_mean          | -94.6      |
| time/                   |            |
|    fps                  | 192        |
|    iterations           | 28         |
|    time_elapsed         | 595        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.09235919 |
|    clip_fraction        | 0.372      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.82      |
|    explained_variance   | 0.177      |
|    learning_rate        | 1e-05      |
|    loss                 | 2.42e+03   |
|    n_updates            | 2700       |
|    policy_gradient_loss | 0.0065     |
|    value_loss           | 6.5e+03    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5.69       |
|    ep_rew_mean          | -86.8      |
| time/                   |            |
|    fps                  | 192        |
|    iterations           | 29         |
|    time_elapsed         | 617        |
|    total_timesteps      | 118784     |
| train/                  |            |
|    approx_kl            | 0.04548437 |
|    clip_fraction        | 0.364      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.86      |
|    explained_variance   | -0.00223   |
|    learning_rate        | 1e-05      |
|    loss                 | 831        |
|    n_updates            | 2800       |
|    policy_gradient_loss | -0.00184   |
|    value_loss           | 1.6e+03    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5.98        |
|    ep_rew_mean          | -88.4       |
| time/                   |             |
|    fps                  | 192         |
|    iterations           | 30          |
|    time_elapsed         | 639         |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.025091585 |
|    clip_fraction        | 0.0998      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.196       |
|    learning_rate        | 1e-05       |
|    loss                 | 921         |
|    n_updates            | 2900        |
|    policy_gradient_loss | 0.00136     |
|    value_loss           | 2.7e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.17        |
|    ep_rew_mean          | -89.8       |
| time/                   |             |
|    fps                  | 192         |
|    iterations           | 31          |
|    time_elapsed         | 660         |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.025218267 |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.89       |
|    explained_variance   | 0.0443      |
|    learning_rate        | 1e-05       |
|    loss                 | 1.01e+03    |
|    n_updates            | 3000        |
|    policy_gradient_loss | -0.00546    |
|    value_loss           | 1.99e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.36       |
|    ep_rew_mean          | -85.1      |
| time/                   |            |
|    fps                  | 192        |
|    iterations           | 32         |
|    time_elapsed         | 682        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.04365381 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.94      |
|    explained_variance   | 0.108      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.36e+03   |
|    n_updates            | 3100       |
|    policy_gradient_loss | 0.0151     |
|    value_loss           | 4.05e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.01        |
|    ep_rew_mean          | -99         |
| time/                   |             |
|    fps                  | 192         |
|    iterations           | 33          |
|    time_elapsed         | 703         |
|    total_timesteps      | 135168      |
| train/                  |             |
|    approx_kl            | 0.051651917 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.341       |
|    learning_rate        | 1e-05       |
|    loss                 | 1.55e+03    |
|    n_updates            | 3200        |
|    policy_gradient_loss | 0.00578     |
|    value_loss           | 5.37e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.08        |
|    ep_rew_mean          | -149        |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 34          |
|    time_elapsed         | 725         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.034432128 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 0.565       |
|    learning_rate        | 1e-05       |
|    loss                 | 4.07e+03    |
|    n_updates            | 3300        |
|    policy_gradient_loss | 0.0169      |
|    value_loss           | 1.18e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 4.09       |
|    ep_rew_mean          | -95.7      |
| time/                   |            |
|    fps                  | 191        |
|    iterations           | 35         |
|    time_elapsed         | 747        |
|    total_timesteps      | 143360     |
| train/                  |            |
|    approx_kl            | 0.08453885 |
|    clip_fraction        | 0.31       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.64      |
|    explained_variance   | 0.654      |
|    learning_rate        | 1e-05      |
|    loss                 | 5.29e+03   |
|    n_updates            | 3400       |
|    policy_gradient_loss | 0.000268   |
|    value_loss           | 1.44e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 4.95        |
|    ep_rew_mean          | -90.2       |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 36          |
|    time_elapsed         | 769         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.030512298 |
|    clip_fraction        | 0.336       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.7        |
|    explained_variance   | -1.79       |
|    learning_rate        | 1e-05       |
|    loss                 | 581         |
|    n_updates            | 3500        |
|    policy_gradient_loss | -0.00337    |
|    value_loss           | 1.48e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 1           |
|    mean_reward          | -105        |
| time/                   |             |
|    total_timesteps      | 150000      |
| train/                  |             |
|    approx_kl            | 0.030372098 |
|    clip_fraction        | 0.279       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.115       |
|    learning_rate        | 1e-05       |
|    loss                 | 724         |
|    n_updates            | 3600        |
|    policy_gradient_loss | -0.00555    |
|    value_loss           | 1.75e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 6.7      |
|    ep_rew_mean     | -92.4    |
| time/              |          |
|    fps             | 191      |
|    iterations      | 37       |
|    time_elapsed    | 791      |
|    total_timesteps | 151552   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.72        |
|    ep_rew_mean          | -88.7       |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 38          |
|    time_elapsed         | 813         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.023017801 |
|    clip_fraction        | 0.263       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.134       |
|    learning_rate        | 1e-05       |
|    loss                 | 795         |
|    n_updates            | 3700        |
|    policy_gradient_loss | -0.00361    |
|    value_loss           | 2.13e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.05        |
|    ep_rew_mean          | -98.7       |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 39          |
|    time_elapsed         | 835         |
|    total_timesteps      | 159744      |
| train/                  |             |
|    approx_kl            | 0.034633964 |
|    clip_fraction        | 0.311       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.142       |
|    learning_rate        | 1e-05       |
|    loss                 | 839         |
|    n_updates            | 3800        |
|    policy_gradient_loss | 0.000792    |
|    value_loss           | 1.92e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.31        |
|    ep_rew_mean          | -192        |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 40          |
|    time_elapsed         | 857         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.040322818 |
|    clip_fraction        | 0.259       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.75       |
|    explained_variance   | 0.23        |
|    learning_rate        | 1e-05       |
|    loss                 | 2.31e+03    |
|    n_updates            | 3900        |
|    policy_gradient_loss | 0.00947     |
|    value_loss           | 7.22e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 11.3        |
|    ep_rew_mean          | -324        |
| time/                   |             |
|    fps                  | 191         |
|    iterations           | 41          |
|    time_elapsed         | 879         |
|    total_timesteps      | 167936      |
| train/                  |             |
|    approx_kl            | 0.052887462 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.588       |
|    learning_rate        | 1e-05       |
|    loss                 | 4.36e+03    |
|    n_updates            | 4000        |
|    policy_gradient_loss | 0.0307      |
|    value_loss           | 1.56e+04    |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 10.2     |
|    ep_rew_mean          | -358     |
| time/                   |          |
|    fps                  | 190      |
|    iterations           | 42       |
|    time_elapsed         | 900      |
|    total_timesteps      | 172032   |
| train/                  |          |
|    approx_kl            | 0.075028 |
|    clip_fraction        | 0.244    |
|    clip_range           | 0.2      |
|    entropy_loss         | -2.62    |
|    explained_variance   | 0.71     |
|    learning_rate        | 1e-05    |
|    loss                 | 1.16e+04 |
|    n_updates            | 4100     |
|    policy_gradient_loss | 0.0457   |
|    value_loss           | 3.06e+04 |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.51       |
|    ep_rew_mean          | -144       |
| time/                   |            |
|    fps                  | 190        |
|    iterations           | 43         |
|    time_elapsed         | 922        |
|    total_timesteps      | 176128     |
| train/                  |            |
|    approx_kl            | 0.06468251 |
|    clip_fraction        | 0.29       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.54      |
|    explained_variance   | 0.684      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.52e+04   |
|    n_updates            | 4200       |
|    policy_gradient_loss | 0.00644    |
|    value_loss           | 3.49e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.47        |
|    ep_rew_mean          | -147        |
| time/                   |             |
|    fps                  | 190         |
|    iterations           | 44          |
|    time_elapsed         | 945         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.058894437 |
|    clip_fraction        | 0.355       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.616       |
|    learning_rate        | 1e-05       |
|    loss                 | 2.32e+04    |
|    n_updates            | 4300        |
|    policy_gradient_loss | -0.0141     |
|    value_loss           | 5.85e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.54       |
|    ep_rew_mean          | -102       |
| time/                   |            |
|    fps                  | 190        |
|    iterations           | 45         |
|    time_elapsed         | 968        |
|    total_timesteps      | 184320     |
| train/                  |            |
|    approx_kl            | 0.06213999 |
|    clip_fraction        | 0.407      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.77      |
|    explained_variance   | 0.655      |
|    learning_rate        | 1e-05      |
|    loss                 | 1.6e+04    |
|    n_updates            | 4400       |
|    policy_gradient_loss | 0.00237    |
|    value_loss           | 4.24e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.45       |
|    ep_rew_mean          | -102       |
| time/                   |            |
|    fps                  | 190        |
|    iterations           | 46         |
|    time_elapsed         | 991        |
|    total_timesteps      | 188416     |
| train/                  |            |
|    approx_kl            | 0.03540881 |
|    clip_fraction        | 0.174      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.48      |
|    explained_variance   | 0.793      |
|    learning_rate        | 1e-05      |
|    loss                 | 5.27e+03   |
|    n_updates            | 4500       |
|    policy_gradient_loss | 0.00385    |
